id,value
OCSD.SanClemente.THEFT/BURGLARY.FORGERYINPROGRESS,10
OCSD.SanClemente.THEFT/BURGLARY.ForgingOrPossessingAFraudulentPublicSeal,1
OCSD.SanClemente.THEFT/BURGLARY.GRANDTHEFT,270
OCSD.SanClemente.THEFT/BURGLARY.IDTHEFT,348
OCSD.SanClemente.THEFT/BURGLARY.PETTYTHEFT,18
OCSD.SanClemente.THEFT/BURGLARY.POSSESSIONOFBURGLARYTOOL,23
OCSD.SanClemente.THEFT/BURGLARY.RECEIVINGSTOLENPROPERTY,56
OCSD.SanClemente.THEFT/BURGLARY.STOLENVEHICLE,4
OCSD.SanClemente.THEFT/BURGLARY.TAMPERINGWITHAVEHICLE,22
OCSD.SanClemente.THEFT/BURGLARY.UnlawfulTakingorDrivingaVehicle,177
OCSD.SanClemente.THREATSAGAINSTPERSONS,
OCSD.SanClemente.THREATSAGAINSTPERSONS.BRANDISHINGAWEAPON,30
OCSD.SanClemente.THREATSAGAINSTPERSONS.POSSESSIONOFWEAPONONCAMPUS,10
OCSD.SanClemente.THREATSAGAINSTPERSONS.TERRORISTTHREATS,42
