id,value
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.Assault/Battery,11
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,3
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.PEEKINGWITHINSTRUMENT,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.RESISTINGARREST,1
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,2
OCSD.Fairgrounds.CRIMESAGAINSTPERSONS.SEXUALASSAULT,6
OCSD.Fairgrounds.DISTURBANCE,
OCSD.Fairgrounds.DISTURBANCE.TRESPASSING,2
OCSD.Fairgrounds.DRUGS/INTOXICATION,
OCSD.Fairgrounds.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,1
OCSD.Fairgrounds.DRUGS/INTOXICATION.DRUNKINPUBLIC,3
OCSD.Fairgrounds.DRUGS/INTOXICATION.PossessionofMethamphetamine,1
OCSD.Fairgrounds.PROPERTYDAMAGE,
OCSD.Fairgrounds.PROPERTYDAMAGE.VANDALISMINPROGRESS,1
OCSD.Fairgrounds.THEFT/BURGLARY,
OCSD.Fairgrounds.THEFT/BURGLARY.BURGLARYINPROGRESS,1
OCSD.Fairgrounds.THEFT/BURGLARY.CHECKFRAUD,1
OCSD.Fairgrounds.THEFT/BURGLARY.GRANDTHEFT,5
OCSD.Fairgrounds.THEFT/BURGLARY.IDTHEFT,3
OCSD.Fairgrounds.THEFT/BURGLARY.RECEIVINGSTOLENPROPERTY,1
OCSD.Fairgrounds.THEFT/BURGLARY.TAMPERINGWITHAVEHICLE,1
OCSD.Fairgrounds.THEFT/BURGLARY.UnlawfulTakingorDrivingaVehicle,2
OCSD.Fairgrounds.THREATSAGAINSTPERSONS,
OCSD.Fairgrounds.THREATSAGAINSTPERSONS.TERRORISTTHREATS,1
OCSD.JohnWayneAirport,
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS,
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,1
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.Assault/Battery,4
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.CONCEALEDDIRKORDAGGER,1
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,6
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,1
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.MetalKnuckles,13
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,1
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.SEXUALASSAULT,2
OCSD.JohnWayneAirport.CRIMESAGAINSTPERSONS.WEAPONINCOURT,56
OCSD.JohnWayneAirport.DISTURBANCE,
OCSD.JohnWayneAirport.DISTURBANCE.TRESPASSING,5
OCSD.JohnWayneAirport.DRUGS/INTOXICATION,
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,6
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.DRUNKINPUBLIC,6
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.NARCOTICVIOLATION,5
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.NARCOTICVIOLATIONMISDEMEANOR,6
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.OpenContainer,2
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.POSSESSIONFORSALEOFNARCOTICS,1
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.POSSESSIONOFACONTROLLEDSUBSTANCE,3
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,9
OCSD.JohnWayneAirport.DRUGS/INTOXICATION.PossessionofMethamphetamine,6
OCSD.JohnWayneAirport.PROPERTYDAMAGE,
OCSD.JohnWayneAirport.PROPERTYDAMAGE.VANDALISMINPROGRESS,10
OCSD.JohnWayneAirport.RESISTINGARREST,
OCSD.JohnWayneAirport.RESISTINGARREST.RESISTINGARREST,1
OCSD.JohnWayneAirport.THEFT/BURGLARY,
OCSD.JohnWayneAirport.THEFT/BURGLARY.BURGLARYINPROGRESS,1
OCSD.JohnWayneAirport.THEFT/BURGLARY.DEFRAUDINGANINNKEEPER,11
OCSD.JohnWayneAirport.THEFT/BURGLARY.FORGERYINPROGRESS,1
OCSD.JohnWayneAirport.THEFT/BURGLARY.GRANDTHEFT,23
OCSD.JohnWayneAirport.THEFT/BURGLARY.IDTHEFT,2
OCSD.JohnWayneAirport.THEFT/BURGLARY.PETTYTHEFT,2
OCSD.JohnWayneAirport.THEFT/BURGLARY.RECEIVINGSTOLENPROPERTY,1
OCSD.JohnWayneAirport.THEFT/BURGLARY.TAMPERINGWITHAVEHICLE,1
OCSD.JohnWayneAirport.THEFT/BURGLARY.UnlawfulTakingorDrivingaVehicle,134
OCSD.JohnWayneAirport.THREATSAGAINSTPERSONS,
OCSD.JohnWayneAirport.THREATSAGAINSTPERSONS.TERRORISTTHREATS,2
OCSD.LaderaRanch,
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS,
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.ASSAULTONPOLICEOFFICER,2
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,6
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.Assault/Battery,29
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.ATTEMPTEDMURDER,1
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.CARJACKINGINPROGRESS,1
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,139
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.ELDERLYABUSE,1
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.FALSEIMPRISONMENT,4
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,2
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.LEWDCONDUCT-CHILDABUSE,2
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.PEEKINGWITHINSTRUMENT,1
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,8
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.SEXUALASSAULT,44
OCSD.LaderaRanch.CRIMESAGAINSTPERSONS.SHOOTINGATINHABITEDDWELLINGINPROGRESS,1
OCSD.LaderaRanch.DISTURBANCE,
OCSD.LaderaRanch.DISTURBANCE.DISTURBANCE,1
OCSD.LaderaRanch.DISTURBANCE.LOITERINGONPRIVATEPROPERTTY,1
OCSD.LaderaRanch.DISTURBANCE.PEEKINGWHILELOITERING,1
OCSD.LaderaRanch.DISTURBANCE.RAILROADTRESSPASSING,2
OCSD.LaderaRanch.DISTURBANCE.TRESPASSING,7
OCSD.LaderaRanch.DRUGS/INTOXICATION,
OCSD.LaderaRanch.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,6
OCSD.LaderaRanch.DRUGS/INTOXICATION.DRUNKINPUBLIC,3
OCSD.LaderaRanch.DRUGS/INTOXICATION.NARCOTICVIOLATION,14
OCSD.LaderaRanch.DRUGS/INTOXICATION.NARCOTICVIOLATIONMISDEMEANOR,9
OCSD.LaderaRanch.DRUGS/INTOXICATION.OpenContainer,1
OCSD.LaderaRanch.DRUGS/INTOXICATION.POSSESSIONFORSLAEOFDESIGNATEDSUBSTANCES,1
OCSD.LaderaRanch.DRUGS/INTOXICATION.POSSESSIONOFACONTROLLEDSUBSTANCE,2
OCSD.LaderaRanch.DRUGS/INTOXICATION.PossessionofDrugParaphernalia,30
OCSD.LaderaRanch.DRUGS/INTOXICATION.PossessionofMethamphetamine,28
OCSD.LaderaRanch.DRUGS/INTOXICATION.SALEOFMETHAMPHETAMINE,1
OCSD.LaderaRanch.PROPERTYDAMAGE,
OCSD.LaderaRanch.PROPERTYDAMAGE.VANDALISMINPROGRESS,89
OCSD.LaderaRanch.RESISTINGARREST,
OCSD.LaderaRanch.RESISTINGARREST.RESISTINGARREST,1
OCSD.LaderaRanch.THEFT/BURGLARY,
OCSD.LaderaRanch.THEFT/BURGLARY.BURGLARYINPROGRESS,39
OCSD.LaderaRanch.THEFT/BURGLARY.CHECKFRAUD,1
OCSD.LaderaRanch.THEFT/BURGLARY.DEFRAUDINGANINNKEEPER,1
OCSD.LaderaRanch.THEFT/BURGLARY.FORGERYINPROGRESS,4
OCSD.LaderaRanch.THEFT/BURGLARY.GRANDTHEFT,58
OCSD.LaderaRanch.THEFT/BURGLARY.IDTHEFT,31
OCSD.LaderaRanch.THEFT/BURGLARY.PETTYTHEFT,2
OCSD.LaderaRanch.THEFT/BURGLARY.POSSESSIONOFBURGLARYTOOL,5
OCSD.LaderaRanch.THEFT/BURGLARY.RECEIVINGSTOLENPROPERTY,8
OCSD.LaderaRanch.THEFT/BURGLARY.STOLENVEHICLE,3
OCSD.LaderaRanch.THEFT/BURGLARY.TAMPERINGWITHAVEHICLE,6
OCSD.LaderaRanch.THEFT/BURGLARY.UnlawfulTakingorDrivingaVehicle,20
OCSD.LaderaRanch.THREATSAGAINSTPERSONS,
OCSD.LaderaRanch.THREATSAGAINSTPERSONS.BRANDISHINGAWEAPON,2
OCSD.LaderaRanch.THREATSAGAINSTPERSONS.POSSESSIONOFWEAPONONCAMPUS,3
OCSD.LaderaRanch.THREATSAGAINSTPERSONS.TERRORISTTHREATS,9
OCSD.LagunaHills,
OCSD.LagunaHills.CRIMESAGAINSTPERSONS,
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.ASSAULTONPOLICEOFFICER,3
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.ASSAULTWITHDEADLYWEAPON,20
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.Assault/Battery,53
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.ATTEMPTEDMURDER,3
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.CARJACKINGINPROGRESS,2
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.CONCEALEDDIRKORDAGGER,5
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.DOMESTICVIOLENCE,120
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.ELDERLYABUSE,6
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.FALSEIMPRISONMENT,4
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.INDECENTEXPOSURE,2
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.KIDNAPPING,1
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.LEWDCONDUCT-CHILDABUSE,5
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.MetalKnuckles,1
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.RESISTINGARREST,5
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.ROBBERYINPROGRESS,22
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.SEXUALASSAULT,63
OCSD.LagunaHills.CRIMESAGAINSTPERSONS.SHOOTINGATINHABITEDDWELLINGINPROGRESS,1
OCSD.LagunaHills.DISTURBANCE,
OCSD.LagunaHills.DISTURBANCE.DISORDERLYCONDUCT-PROSTITUTION,27
OCSD.LagunaHills.DISTURBANCE.DISTURBANCE,7
OCSD.LagunaHills.DISTURBANCE.lewdCONDUCT,2
OCSD.LagunaHills.DISTURBANCE.LOITERINGONPRIVATEPROPERTTY,1
OCSD.LagunaHills.DISTURBANCE.PEEKINGWHILELOITERING,1
OCSD.LagunaHills.DISTURBANCE.TRESPASSING,32
OCSD.LagunaHills.DISTURBANCE.URINATINGINPUBLIC,2
OCSD.LagunaHills.DRUGS/INTOXICATION,
OCSD.LagunaHills.DRUGS/INTOXICATION.DRIVINGUNDERTHEINFLUENCE,68
